Group1,Group2,Group3,Group4,Group5,Group6,Group7,P,PairProduct,FinalResult,NormalizedFinalResult
1.1.,2.1.,3.2.,4.2.,5.2.,6.1.,7.3.,0.002025,454.8949261182061,0.9211622253893673,0.0010791845413519175
1.1.,2.1.,3.2.,4.2.,5.2.,6.2.,7.1.,0.00054,2906.0362430532546,1.5692595712487576,0.001838460831309448
1.1.,2.1.,3.2.,4.2.,5.2.,6.2.,7.2.,0.0008100000000000001,3018.5213106998467,2.445002261666876,0.0028644342675320316
1.1.,2.1.,3.2.,4.2.,5.2.,6.2.,7.3.,0.00135,572.1258853511094,0.7723699452239978,0.0009048674404101188
1.1.,2.1.,3.2.,4.2.,5.3.,6.1.,7.1.,0.000486,531.4969852818151,0.2583075348469621,0.0003026193333142088
1.1.,2.1.,3.2.,4.2.,5.3.,6.1.,7.2.,0.0007289999999999999,914.671931620256,0.6667958381511666,0.0007811824464104217
1.1.,2.1.,3.2.,4.2.,5.3.,6.1.,7.3.,0.001215,214.6430132868868,0.26079126114356743,0.00030552913459607606
1.1.,2.1.,3.2.,4.2.,5.3.,6.2.,7.1.,0.000324,1377.3400943637816,0.4462581905738653,0.0005228122989036241
1.1.,2.1.,3.2.,4.2.,5.3.,6.2.,7.2.,0.00048599999999999994,1760.8040979082436,0.8557507915834063,0.0010025519936362108
1.1.,2.1.,3.2.,4.2.,5.3.,6.2.,7.3.,0.00081,333.7400997881471,0.27032948082839914,0.00031670360414354145
1.1.,2.1.,3.2.,4.2.,5.4.,6.1.,7.1.,0.00016200000000000003,191.75729425254997,0.031064681668913102,3.639372448749598e-05
1.1.,2.1.,3.2.,4.2.,5.4.,6.1.,7.2.,0.000243,312.0017959171138,0.07581643640785865,8.88224939067244e-05
1.1.,2.1.,3.2.,4.2.,5.4.,6.1.,7.3.,0.00040500000000000003,91.52052680235333,0.037065813354953105,4.342433035439858e-05
1.1.,2.1.,3.2.,4.2.,5.4.,6.2.,7.1.,0.00010800000000000001,373.2471188662205,0.04031068883755182,4.7225853433519834e-05
1.1.,2.1.,3.2.,4.2.,5.4.,6.2.,7.2.,0.000162,451.13546391888207,0.0730839451548589,8.562125286759016e-05
1.1.,2.1.,3.2.,4.2.,5.4.,6.2.,7.3.,0.00027,106.88440222078125,0.02885878859961094,3.380941779899713e-05
1.1.,2.1.,3.2.,4.3.,5.1.,6.1.,7.1.,0.00021600000000000002,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.3.,5.1.,6.1.,7.2.,0.000324,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.3.,5.1.,6.1.,7.3.,0.00054,144.41108765657341,0.07798198733454964,9.135953789222585e-05
1.1.,2.1.,3.2.,4.3.,5.1.,6.2.,7.1.,0.000144,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.3.,5.1.,6.2.,7.2.,0.00021600000000000002,0.0,0.0,0.0
1.1.,2.1.,3.2.,4.3.,5.1.,6.2.,7.3.,0.00036,165.6422125145948,0.059631196505254135,6.986072993124232e-05
1.1.,2.1.,3.2.,4.3.,5.2.,6.1.,7.1.,0.00108,3561.329520059353,3.8462358816641014,0.004506044854510241
1.1.,2.1.,3.2.,4.3.,5.2.,6.1.,7.2.,0.0016199999999999997,4494.466341421058,7.281035473102113,0.008530072891650996
1.1.,2.1.,3.2.,4.3.,5.2.,6.1.,7.3.,0.0026999999999999997,785.5328394505916,2.1209386665165972,0.0024847786404753732
1.1.,2.1.,3.2.,4.3.,5.2.,6.2.,7.1.,0.00072,6931.970895170765,4.991019044522951,0.005847211761387061
1.1.,2.1.,3.2.,4.3.,5.2.,6.2.,7.2.,0.00108,6498.722714222593,7.0186205313604,0.008222641539450555
1.1.,2.1.,3.2.,4.3.,5.2.,6.2.,7.3.,0.0018,917.4030231577563,1.6513254416839611,0.0019346048288651724
1.1.,2.1.,3.2.,4.3.,5.3.,6.1.,7.1.,0.0006479999999999999,1493.3419291759287,0.9676855701060016,0.0011336888111171655
1.1.,2.1.,3.2.,4.3.,5.3.,6.1.,7.2.,0.0009719999999999998,2319.5399787495935,2.2545928593446045,0.0026413607655466505
1.1.,2.1.,3.2.,4.3.,5.3.,6.1.,7.3.,0.0016199999999999997,405.4040429525679,0.6567545495831599,0.0007694186081860893
1.1.,2.1.,3.2.,4.3.,5.3.,6.2.,7.1.,0.00043200000000000004,3593.4777508331517,1.5523823883599217,0.001818688423829862
1.1.,2.1.,3.2.,4.3.,5.3.,6.2.,7.2.,0.000648,4146.3204817305605,2.686815672161403,0.003147729964320915
1.1.,2.1.,3.2.,4.3.,5.3.,6.2.,7.3.,0.00108,585.3222413376308,0.6321480206446413,0.0007405909110499487
1.1.,2.1.,3.2.,4.3.,5.4.,6.1.,7.1.,0.00021600000000000002,464.1784960389859,0.10026255514442096,0.00011746226300429038
1.1.,2.1.,3.2.,4.3.,5.4.,6.1.,7.2.,0.000324,681.66072844886,0.22085807601743065,0.00025874554438008
1.1.,2.1.,3.2.,4.3.,5.4.,6.1.,7.3.,0.00054,148.92393414584132,0.08041892443875431,9.42145234513579e-05
1.1.,2.1.,3.2.,4.3.,5.4.,6.2.,7.1.,0.000144,838.9670503985974,0.12081125525739803,0.00014153602427628318
1.1.,2.1.,3.2.,4.3.,5.4.,6.2.,7.2.,0.00021600000000000002,915.2367822530151,0.19769114496665127,0.0002316044033611906
1.1.,2.1.,3.2.,4.3.,5.4.,6.2.,7.3.,0.00036,161.50115720172997,0.05814041659262279,6.811421168296127e-05
1.1.,2.1.,3.2.,4.4.,5.1.,6.1.,7.1.,0.00010800000000000001,0.0,0.0,0.0
